"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"555207",0.2,53.114913,-2.221812
2023-09-01,"558016",0,53.24456,-1.997705
2023-09-01,"558491",0,53.38925,-1.919511
2023-09-01,"558844",0,53.49079,-1.883147
2023-09-01,"559100R",0.2,53.45937,-1.93444
2023-09-01,"559586",0,53.534889,-2.012778
2023-09-01,"559969",0,53.459311,-2.134747
2023-09-01,"560557",0,53.431001,-2.352893
2023-09-01,"560631",0.6,53.718989,-2.194675
2023-09-01,"560943",0.4,53.697953,-2.353609
2023-09-01,"561299",0.6,53.65712,-2.049131
2023-09-01,"561613",0.6,53.663285,-2.180798
2023-09-01,"562417",0,53.60958,-2.440532
2023-09-01,"562656",0.1,53.539768,-2.35078
2023-09-01,"562992_",0.4,53.535499,-2.263235
2023-09-01,"563170",0.4,53.53478,-2.162144
2023-09-01,"564154",0,53.497891,-2.499671
2023-09-01,"564160",0,53.381621,-2.570469
2023-09-01,"564595",0.1,53.240041,-2.077118
2023-09-01,"564769",0,53.300189,-2.155251
